country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
Italy,UVT-Growth Space Co-investment,United Ventures SGR SPA,EIF Enabling sectors,Space,Venture Capital,,16800000.0,EUR,PZA FONTANA 1,unitedventures.it
Italy,VC Partners Fund,rtn rs pA,,Artificial Intelligence (AI);Education Tech;Other Digital,Venture Capital,,25000000.0,EUR,VIA DEGLI OLIVETANI 10,
Italy,sp xt Generation Infrastructure,In fr tructure,ra nds,,Infrastructure,,75000000.0,EUR,VIA SANTO SPIRITO 14,https://www.vesperam.com/
Italy,XGen Venture Life Science Fund,XGen Venture SGR Spa,EIF Enabling sectors,Life science and health,Venture Capital,Science,20000000.0,EUR,,
Lithuania,Clean Energy Infrastructure Fund,od us Asset Management,ra nds,Clean Energy Transition-Climate,Infrastructure,,42492999.0,EUR,Ozo g. 10A,https://www.modus.group/company
Lithuania,on trarian Ventures Net Zero 2022,UAB Contrarian Ventures,EIF C&E Solutions,,Venture Capital,,25000000.0,EUR,ANTAKALNIO G. 17,www.cventures.vc
Lithuania,IAM CEE Student Housing Fund,UAB Asset Management,,Social Infrastructure,Infrastructure,Infrastructure,50000000.0,EUR,"Liepyno st. 25A,",www.1am.lt
Netherlands,4impact Fund II Cooperatief U.A.,Aline B.V.,EIF C&E Solutions,s o l u ti o n s ; I n d u s t r ia l d e c a rb o n is a t i o n & a m p ; e n v ir o n m e n ta l s u s t a in a b il i ty ;M ob i lit y a n d tr a n s p o rt s o l u tio n s ; Other,Venture Capital,,17500000.0,EUR,Offenberglaan 2,https://www.4impact.vc/
Netherlands,ARX CE Cooperatief U.A,ARX Equity Partners B.V.,EIF CMU,Growth and expansion;Industrial decarbonisation &amp; environmental sustainability,Private Equity,,20000000.0,EUR,"Amstelplein 1, 24th Floor",http://www.arxequity.com/
Netherlands,Circular Plastics Fund SCSp,Infinity Recycling B.V.,EIF C&E Solutions,Blue Economy;Industrial decarbonisation &amp; environmental sustainability,Venture Capital,and,50000000.0,EUR,WESTERKADE 2 B,https://infinity-recycling.com/home
